Complaint ID,Product,Consumer complaint narrative
14125307,"Money transfer, virtual currency, or money service",
13842498,Checking or savings account,
14038049,Checking or savings account,
14017725,"Money transfer, virtual currency, or money service",
13670064,Checking or savings account,
13894188,Credit card,
13372171,Checking or savings account,"I was offered a new remote job with company XXXX. Company sent me a check to pay for hardware and software equipment to use in daily work. I went to Bank of America and told them I am not to sure about the check I was going to deposit. The teller ran the check and said it was good to go. I was still uneasy about the check, so I called Bank of America fruad department. The told me the funds are good and there were no issues, so I proceeded to purchase the equipment. Several days later the check bounced, and my account was negative XXXX On XXXX the bank sent via secured message a Scam Victim Acknowledgment form. I sent the form back on the same day to the email address the email came from. I called every day to check if the email had been uploaded. I sent the email XXXX times nothing I was provided another email address on XX/XX/year>. I sent the email to that address then called the form had not been delivered. I had to go to my local bank and fax the form. Finally, the form was delivered. I call the bank to check the status of my claim, and the bank stated that no money could be recovered because the account was closed on XX/XX/year>. The ban has failed me they wasted time with a failed internal workflow that caused delays that allowed the criminals to get away with the money. I am a XXXX veteran, and my XXXX check was taken from me, and I can pay my bills because of this scam. I need help as the bank has failed to protect me from this type of crime. The banks internal polices failed to protect me the consumer"
13065169,Credit card,
13030601,Credit card,I paid a payment last XXXX XXXX and did not update the payment status and when i called them since last year after XXXX they want me to call them after three days and i did and nothing happened still.
13751165,Checking or savings account,
13864328,Credit card,
13919746,Credit card,
14076582,"Money transfer, virtual currency, or money service",
13658868,"Money transfer, virtual currency, or money service",
13747883,Checking or savings account,
14117774,Credit card,
14008697,Checking or savings account,
13912980,Checking or savings account,
14077622,Checking or savings account,
13996652,Checking or savings account,
13696113,Checking or savings account,
13910005,Credit card,
14096341,Credit card,
14177139,Checking or savings account,
13499567,Credit card,Did a balance transfer to them after 10 days and did not receive their card I called them several times because getting through is not simple. After XXXX minute phone calls I finally had a complaint filed and got a call back from a supervisor who to date has been only XXXX of XXXX Representatives who were helpful. He finally canceled the first card sent out a second card which I still haven't received. So I called them again this time operator so called supervisor XXXX unauthorized and unadvised to me that he locked and flagged my account as fraud. Now when I try to log into the account or call them I can not obtain any information because of his actions and I'm not waiting for a letter from them to verify who I am this is a horrible way to treat a new customer they are subpar at assisting customers and resolving issues
13955522,Credit card,
14092301,Credit card,
14012190,Credit card,
